10388,0.01,0.21
10433,0.01,0.20
10463,0.01,0.20
10493,0.01,0.20
10523,0.02,0.19
10553,0.02,0.19
10583,0.02,0.19
10613,0.02,0.18
10644,0.02,0.18
10674,0.01,0.17
10704,0.01,0.16
10734,-0.00,0.16
10764,-0.00,0.15
10795,-0.00,0.15
10825,0.00,0.15
10855,0.01,0.15
10885,0.02,0.15
10915,0.03,0.16
10946,0.03,0.16
10976,0.04,0.16
11006,0.04,0.15
11036,0.04,0.15
11067,0.04,0.15
11097,0.04,0.14
11127,0.03,0.14
11158,0.03,0.13
11188,0.03,0.13
11218,0.03,0.13
11248,0.03,0.12
11279,0.03,0.12
11312,0.03,0.12
11342,0.03,0.12
11372,0.02,0.11
11403,0.02,0.10
11433,0.01,0.10
11464,0.01,0.10
11494,0.02,0.10
11524,0.02,0.10
11555,0.02,0.10
11585,0.02,0.10
11616,0.02,0.10
11646,0.01,0.09
11677,0.00,0.08
11707,-0.01,0.07
11738,-0.01,0.07
11768,-0.02,0.06
11798,-0.02,0.06
11829,-0.01,0.06
11859,-0.01,0.07
11890,0.00,0.08
11920,0.02,0.10
11951,0.03,0.11
11981,0.04,0.12
12012,0.05,0.12
12042,0.06,0.13
12073,0.06,0.13
12103,0.07,0.13
12134,0.07,0.13
12164,0.07,0.12
12195,0.07,0.11
12228,0.07,0.11
12258,0.07,0.10
12289,0.06,0.09
12319,0.06,0.07
12350,0.05,0.06
12380,0.05,0.06
12411,0.05,0.05
12441,0.05,0.05
12472,0.05,0.05
12502,0.06,0.06
12533,0.06,0.07
12563,0.07,0.07
12594,0.08,0.08
12624,0.08,0.08
12655,0.08,0.06
12685,0.08,0.06
12716,0.09,0.07
12747,0.11,0.08
12777,0.12,0.08
12808,0.13,0.08
12838,0.15,0.08
12869,0.16,0.07
12899,0.17,0.07
12930,0.18,0.06
12960,0.19,0.06
12991,0.20,0.05
13022,0.21,0.05
13052,0.22,0.04
13083,0.23,0.02
13113,0.24,0.01
13147,0.25,-0.01
13177,0.25,-0.02
13208,0.26,-0.04
13238,0.27,-0.05
13269,0.27,-0.06
13300,0.28,-0.07
13330,0.30,-0.08
13361,0.31,-0.09
13392,0.32,-0.10
13422,0.33,-0.11
13453,0.33,-0.13
13483,0.33,-0.14
13514,0.33,-0.15
13545,0.33,-0.16
13575,0.34,-0.16
13606,0.34,-0.14
13637,0.35,-0.13
13667,0.36,-0.10
13698,0.38,-0.08
13729,0.39,-0.04
13759,0.42,-0.00
13790,0.44,0.04
13821,0.47,0.07
13851,0.49,0.10
13882,0.51,0.13
13913,0.52,0.14
13943,0.54,0.16
13974,0.55,0.17
14005,0.56,0.18
14038,0.57,0.20
14069,0.59,0.21
14099,0.60,0.23
14130,0.61,0.24
14161,0.62,0.25
14191,0.64,0.25
14222,0.65,0.26
14258,0.65,0.25
14288,0.66,0.24
14319,0.66,0.23
14349,0.66,0.23
14379,0.67,0.23
14410,0.68,0.24
14440,0.69,0.26
14470,0.71,0.28
14501,0.74,0.31
14531,0.76,0.34
14561,0.79,0.37
14592,0.82,0.40
14622,0.84,0.42
14652,0.86,0.43
14683,0.88,0.44
14713,0.89,0.44
14743,0.91,0.46
14774,0.92,0.46
14804,0.93,0.47
14834,0.93,0.47
14865,0.94,0.48
14895,0.95,0.49
14925,0.96,0.51
14959,0.97,0.53
14989,0.98,0.54
15019,0.98,0.55
15050,0.99,0.55
15080,0.99,0.55
15111,0.98,0.54
15141,0.98,0.53
15171,0.97,0.52
15202,0.97,0.52
15232,0.97,0.52
15263,0.97,0.52
15293,0.97,0.52
15323,0.97,0.52
15354,0.97,0.53
15384,0.98,0.55
15415,0.98,0.56
15445,0.98,0.57
15476,0.98,0.58
15506,0.99,0.59
15536,0.98,0.60
15567,0.98,0.60
15597,0.97,0.60
15628,0.96,0.61
15658,0.95,0.60
15689,0.94,0.60
15719,0.93,0.60
15750,0.92,0.60
15780,0.92,0.61
15810,0.91,0.63
15841,0.91,0.64
15874,0.92,0.66
15905,0.92,0.67
15935,0.91,0.67
15966,0.90,0.67
15996,0.89,0.66
16026,0.89,0.66
16057,0.88,0.66
16087,0.87,0.65
16118,0.86,0.65
16148,0.85,0.65
16179,0.84,0.65
16209,0.84,0.66
16240,0.84,0.67
16270,0.84,0.68
16301,0.84,0.69
16331,0.84,0.69
16362,0.83,0.69
16392,0.82,0.69
16423,0.82,0.69
16454,0.81,0.68
16484,0.80,0.68
16515,0.79,0.68
16545,0.79,0.68
16576,0.79,0.69
16606,0.78,0.69
16637,0.78,0.68
16667,0.77,0.68
16698,0.76,0.67
16728,0.75,0.67
16759,0.75,0.67
16789,0.74,0.66
16823,0.73,0.66
16853,0.73,0.66
16884,0.72,0.67
16914,0.72,0.67
16945,0.71,0.66
16975,0.70,0.66
17006,0.69,0.65
17037,0.68,0.65
17067,0.68,0.65
17098,0.67,0.66
10400,0.00,-0.44
10444,0.01,-0.43
10474,0.02,-0.42
10504,0.02,-0.41
10534,0.01,-0.40
10565,0.01,-0.39
10595,0.01,-0.38
10625,0.01,-0.38
10655,0.01,-0.37
10686,0.01,-0.36
10716,0.02,-0.35
10746,0.02,-0.35
10776,0.02,-0.34
10809,0.02,-0.33
10839,0.02,-0.33
10869,0.02,-0.32
10900,0.02,-0.31
10930,0.02,-0.31
10960,0.02,-0.30
10993,0.02,-0.29
11023,0.02,-0.29
11054,0.02,-0.28
11084,0.02,-0.28
11114,0.02,-0.27
11145,0.02,-0.26
11175,0.02,-0.26
11206,0.02,-0.25
11236,0.02,-0.25
11266,0.02,-0.24
11297,0.02,-0.24
11327,0.02,-0.23
11357,0.02,-0.23
11388,0.02,-0.22
11418,0.02,-0.22
11449,0.02,-0.21
11482,0.02,-0.20
11512,0.02,-0.20
11542,0.02,-0.20
11573,0.02,-0.19
11603,0.01,-0.19
11634,0.01,-0.19
11664,0.01,-0.19
11695,0.00,-0.19
11725,0.00,-0.18
11755,0.00,-0.18
11786,0.00,-0.17
11816,0.00,-0.17
11849,0.00,-0.17
11880,0.00,-0.16
11910,-0.00,-0.16
11941,-0.00,-0.16
11971,-0.00,-0.16
12002,-0.01,-0.15
12032,-0.01,-0.15
12063,-0.01,-0.15
12093,-0.01,-0.15
12124,-0.01,-0.14
12154,-0.01,-0.14
12185,-0.01,-0.14
12215,-0.01,-0.14
12246,-0.01,-0.13
12276,-0.01,-0.13
